Paper Title,Evaluation Framework,Evaluation Methods,Key Metrics,Key Findings,Source
Arena RL: Scaling RL for Open-Ended Agents via Tournament-based Relative Ranking,ArenaRL,Process-aware pairwise evaluation with multi-level rubrics and tournament-based ranking (single-elimination).,"Advantage estimation accuracy, Success rate",Tournament-based ranking (O(N) complexity) achieves nearly equivalent advantage estimation accuracy to full pairwise comparisons (O(N^2)).,[12]
Process Reinforcement through Implicit Rewards,PRIME,Online PRM updates using policy rollouts and outcome labels through implicit process rewards.,"Accuracy on reasoning benchmarks, Sample efficiency",PRIME achieves a 15.1% average improvement and surpasses Qwen2.5-Math-7B-Instruct using only 10% of training data.,[20]
Humanline: Online Alignment as Perceptual Loss,Humanline (DPO/KTO/GRPO),Humanline Syncing (periodically syncing reference weights) and Humanline Clipping (asymmetric clipping of log-probability ratios).,"Length-Controlled Winrate (LC-WR), Winrate (WR), average completion Length, Pass@1","Humanline trained with offline data matches online alignment performance while being 6x faster, driven largely by syncing the reference model.",[23]
The Lessons of Developing Process Reward Models in Mathematical Reasoning,Consensus filtering mechanism for PRMs,Integration of MC estimation with LLM-as-a-judge and Best-of-N (BoN) evaluation strategies.,"BoN scores, step-wise error identification accuracy, response-level and step-level metrics",MC estimation typically yields inferior performance compared to LLM-as-a-judge; existing PRMs often shift from process to outcome-based assessment.,[20]
Training Vision-Language Process Reward Models for Test-Time Scaling in Multimodal Reasoning,Vision-Language Process Reward Models (VL-PRMs),Hybrid data synthesis (MCTS + VLM judgments) and perception-focused supervision.,"Outcome Reward Models (ORMs) performance, Test-Time Scaling (TTS) accuracy",Smaller VL-PRMs can match or surpass larger ones in detecting process errors; perception-level supervision leads to significant gains in test-time scaling.,[20]
Mending the Holes: Mitigating Reward Hacking in Reinforcement Learning for Multilingual Translation,WALAR,"Hybrid reward system combining Source-based Quality Estimation (MetricX), Word Alignment (F1), and Language Alignment (GlotLID/MaskLID).","spBLEU, xCOMET, MetricX, Language Consistency Rate (LCR)","Outperformed prior multilingual LLMs in 1,414 directions on Flores-101; effectively mitigated reward hacking like input repetition.","[10, 24]"
The Energy Loss Phenomenon in RLHF: A New Perspective on Mitigating Reward Hacking,EPPO (Energy loss-aware PPO),Internal representation analysis of final-layer energy loss; GPT-4 identification of hacking samples based on intent deviation.,"GPT-4 Win Rate, Contextual Dependency Strength (CDS), Energy Loss (L_2 norm)",Reward hacking manifests as excessive final-layer energy loss; EPPO penalizes this to mitigate hacking and improve RLHF performance.,[25]
Information Gain-based Policy Optimization (IGPO),IGPO,Intrinsic turn-level rewards derived from the model's own belief updates (marginal increase in probability of correct answer).,"Accuracy, Sample Efficiency","Outperforms strong baselines by providing dense supervision without external reward models, addressing advantage collapse in multi-turn settings.",[26]
Fin-PRM: A Domain-Specialized Process Reward Model for Financial Reasoning,Fin-PRM,Integration of step-level and trajectory-level reward supervision in offline and online settings.,"Trajectory selection quality, Supervised/Reinforcement learning gain","Fin-PRM consistently outperforms general-purpose PRMs in financial contexts (+12.9% SL gain, +5.1% RL gain).",[20]
SPA-RL: Reinforcing LLM Agents via Stepwise Progress Attribution,Stepwise Progress Attribution (SPA),Decomposes final reward into stepwise contributions using a trained progress estimator and grounding signals.,"Success Rate, Grounding Accuracy","Outperforms SOTA by 2.5% in success rate and 1.9% in grounding accuracy on Webshop, ALFWorld, and VirtualHome.",[21]
ProgRM: Build Better GUI Agents with Progress Rewards,Progress Reward Model (ProgRM),LCS-based (Longest Common Subsequence) self-annotation algorithm for key step discovery and progress label assignment.,Task completion progress per step,Actors trained with ProgRM outperform proprietary LLMs and standard Outcome Reward Model (ORM) trained actors for GUI navigation.,[21]
Milestones over Outcome: Unlocking Geometric Reasoning with Sub-Goal Verifiable Reward,Sub-Goal Verifiable Reward (SGVR),Formal verification data engine (GeoGoal) to convert proofs into numeric subgoals; skeleton-rate based dense rewards.,"Skeleton Rate, Success Rate",SGVR enhanced geometric performance by 9.7% and generalized to general math (+8.0%) and general reasoning (+2.8%).,[21]
VeRPO: Verifiable Dense Reward Policy Optimization for Code Generation,VeRPO,Weighted partial success rewards based on dynamic unit test difficulty estimation grounded in execution feedback.,Pass@1,Achieved up to +8.83% gain in Pass@1 with negligible time cost and zero GPU memory overhead.,[21]
Hybrid Reward Normalization for Process-supervised Non-verifiable Agentic Tasks,Principle Process Reward (PPR),Principle-based reward model for step-level assessment; Reward Normalization (ReNorm) to calibrate outcome/process signals.,Benchmark-specific success rates,Achieves state-of-the-art performance across wide benchmarks by balancing local quality with final outcome contribution.,[21]
Auto MC-Reward: Automated Dense Reward Design with Large Language Models for Minecraft,Auto MC-Reward,"Three-component system (Reward Designer, Critic, Analyzer) that iterates on executable Python reward functions.",Success Rate,Demonstrated significant improvement in success rate for complex Minecraft tasks like obtaining diamonds while avoiding lava.,[8]
Precision over Diversity: High-Precision Reward Generalizes to Robust Instruction Following,Data-Centric Refinement (High-Precision Reward),Comparison of hard-only constraints vs. mixed datasets; analysis of LLM judge recall rates.,"Instruction Following (IF) performance, Training time",Hard-only constraints outperform mixed datasets; high-precision rewards improve performance by 13.4% and reduce training time by 58%.,[21]
Likelihood-Based Reward Designs for General LLM Reasoning,Likelihood-Based Reward Design,Comparison of log-probability vs. probability of reference answers as reward signals for CoT learning.,"Success Rate, Perplexity","Log-probability rewards are the only variant performing well across all setups, avoiding vanishing probabilities.",[21]
Cooper: Co-Optimizing Policy and Reward Models in Reinforcement Learning for Large Language Models,Cooper (Joint Policy and Reward Optimization),Hybrid annotation strategy; reference-based reward modeling (VerifyRM); dynamic sample pair selection.,"Average accuracy, VerifyBench accuracy",Alleviates reward hacking and improves RL performance (+0.54% average accuracy on Qwen2.5-1.5B-Instruct).,[21]
Sotopia-RL: Reward Design for Social Intelligence,Sotopia-RL,Refining coarse episode-level feedback into utterance-level rewards capturing rapport and goal achievement.,Social Goal Completion Score,Achieved state-of-the-art scores (7.17 on Sotopia-hard); confirmed the necessity of multi-dimensional reward design.,"[8, 10]"
Alleviating Sparse Rewards by Modeling Step-Wise and Long-Term Sampling Effects in Flow-Based GRPO,TurningPoint-GRPO (TP-GRPO),Step-level incremental rewards; turning point identification to assign aggregated long-term rewards.,"Generation consistency, Reward signal effectiveness",Alleviates reward sparsity in text-to-image flow matching models and models long-term dependencies.,[21]
Sailing AI by the Stars: A Survey of Learning from Rewards,Learning from Rewards (Stars),"Categorization of training (RLHF, DPO, GRPO), inference (reward-guided decoding), and post-hoc correction.","Aligned preferences, Reasoning capabilities",Shift from passive learning to active dynamic feedback enables deep reasoning and better alignment with human preferences.,[21]
Agent-as-a-Judge (Survey),Agent-as-a-Judge Taxonomy,"Planning, tool-augmented verification, multi-agent collaboration, and persistent memory for evaluation.",Not in source,Transition from LLM-as-a-Judge to agentic judges is driven by the need to verify assessments against real-world observations.,[27]
